DATE;FCI;NFCI;CISS
01/08/2008;1.1074;0.639246842;0.3649
08/08/2008;1.5894;0.605787089;0.3948
15/08/2008;1.7291;0.599883489;0.3804
22/08/2008;1.7785;0.652479687;0.3851
29/08/2008;1.8929;0.760202625;0.3232
05/09/2008;1.6688;0.933459395;0.4441
12/09/2008;1.3646;1.161553532;0.4812
19/09/2008;1.665;1.445023149;0.5543
26/09/2008;2.5183;1.72382804;0.5698
03/10/2008;2.3461;1.990491026;0.7052
10/10/2008;2.8363;2.215137118;0.7389
17/10/2008;2.773;2.376685593;0.7162
24/10/2008;2.6184;2.484436229;0.7515
31/10/2008;1.956;2.567155796;0.7627
07/11/2008;1.8009;2.627554758;0.7708
14/11/2008;1.9145;2.686167804;0.7577
21/11/2008;2.0474;2.753589591;0.7829
28/11/2008;1.5376;2.77799143;0.8041
05/12/2008;1.5749;2.776952195;0.7565
12/12/2008;1.7147;2.723723478;0.8402
19/12/2008;1.5794;2.616368492;0.7765
26/12/2008;1.6071;2.467332691;0.4282
02/01/2009;1.591;2.316960178;0.5443
09/01/2009;1.5555;2.15818153;0.7358
16/01/2009;1.8446;2.026986568;0.7945
23/01/2009;1.755;1.934900299;0.7648
30/01/2009;1.5124;1.881117343;0.7576
06/02/2009;1.4409;1.866413365;0.7215
13/02/2009;1.3321;1.892103702;0.6672
20/02/2009;1.3634;1.938542753;0.7681
27/02/2009;1.6069;1.984401782;0.7733
06/03/2009;1.9802;2.018733287;0.7931
13/03/2009;1.86;2.009685592;0.7513
20/03/2009;1.3299;1.960432959;0.7516
27/03/2009;1.2913;1.871673786;0.7871
03/04/2009;1.6334;1.757219716;0.7637
10/04/2009;1.4574;1.618756154;0.5885
17/04/2009;1.3027;1.484057453;0.6915
24/04/2009;1.3361;1.349039195;0.6777
01/05/2009;1.2034;1.221487592;0.66
08/05/2009;0.9811;1.107884308;0.7247
15/05/2009;0.999;1.021163123;0.618
22/05/2009;1.0787;0.949580547;0.5654
29/05/2009;0.9493;0.902836209;0.4357
05/06/2009;1.0774;0.866738232;0.6371
12/06/2009;0.9042;0.838136575;0.5551
19/06/2009;0.9882;0.810347688;0.6743
26/06/2009;1.0206;0.771753366;0.6619
03/07/2009;0.9395;0.721869967;0.623
10/07/2009;0.858;0.658169923;0.6035
17/07/2009;1.0009;0.583834311;0.5962
24/07/2009;0.8684;0.502295187;0.5222
31/07/2009;0.6891;0.426169208;0.5603
07/08/2009;0.8836;0.359634184;0.5268
14/08/2009;0.7876;0.307415543;0.5054
21/08/2009;0.6951;0.262938793;0.4938
28/08/2009;0.5699;0.227975561;0.409
04/09/2009;0.4575;0.199564716;0.372
11/09/2009;0.5395;0.1727095;0.4676
18/09/2009;0.5479;0.149524527;0.3185
25/09/2009;0.5635;0.127480648;0.3936
02/10/2009;0.6145;0.111979494;0.433
09/10/2009;0.6434;0.095584054;0.4596
16/10/2009;0.7509;0.082601906;0.3899
23/10/2009;0.7955;0.06519979;0.3236
30/10/2009;0.9446;0.053883844;0.4971
06/11/2009;0.9899;0.04006957;0.4138
13/11/2009;0.9278;0.023984192;0.3357
20/11/2009;0.9198;0.005697307;0.3854
27/11/2009;0.9335;-0.013863432;0.4106
04/12/2009;0.7998;-0.037434241;0.3944
11/12/2009;0.8552;-0.065951121;0.3942
18/12/2009;0.9089;-0.09521964;0.3787
25/12/2009;0.9396;-0.123384551;0.2638
01/01/2010;0.8969;-0.145550071;0.2116
08/01/2010;0.7452;-0.164534883;0.2944
15/01/2010;0.6969;-0.175026437;0.3069
22/01/2010;0.8164;-0.176850632;0.3736
29/01/2010;0.6493;-0.175404867;0.2973
05/02/2010;0.7537;-0.175228207;0.3439
12/02/2010;0.6624;-0.182790769;0.3154
19/02/2010;0.5928;-0.201736095;0.3047
26/02/2010;0.6762;-0.232659499;0.3223
05/03/2010;0.5607;-0.274644484;0.3184
12/03/2010;0.5336;-0.323082325;0.2207
19/03/2010;0.3621;-0.371701485;0.2472
26/03/2010;0.1811;-0.414251234;0.2109
02/04/2010;0.1984;-0.443570009;0.1879
09/04/2010;0.2076;-0.454297564;0.2194
16/04/2010;0.2259;-0.442015695;0.2436
23/04/2010;-0.0045;-0.403484974;0.2725
30/04/2010;0.0443;-0.341055253;0.306
07/05/2010;0.3695;-0.26043037;0.4112
14/05/2010;0.2193;-0.180369351;0.4275
21/05/2010;0.4474;-0.102328108;0.4194
28/05/2010;0.0027;-0.044229678;0.4237
04/06/2010;-0.0923;-0.011950081;0.4153
11/06/2010;-0.1732;-0.004996584;0.4143
18/06/2010;-0.2019;-0.02636212;0.3235
25/06/2010;-0.1123;-0.062560634;0.3749
02/07/2010;0.0339;-0.107682323;0.4672
09/07/2010;-0.1172;-0.157990757;0.375
16/07/2010;0.058;-0.206351275;0.3864
23/07/2010;-0.1797;-0.235106285;0.3585
30/07/2010;-0.3512;-0.25416032;0.2829
06/08/2010;-0.2781;-0.259667245;0.2882
13/08/2010;-0.4289;-0.2539617;0.3537
20/08/2010;-0.4537;-0.245491598;0.3359
27/08/2010;-0.5113;-0.240210535;0.3667
03/09/2010;-0.4178;-0.242743062;0.3634
