dateid01;cpi_esp;gdp_esp;u_esp;;lgd_esp;PD_ent;PD_gp
2008-01-01;90,03580511;1116,790329;8,539214566;;0,507669643;0,128940746;0,062952948
2008-04-01;91,09862932;1121,697901;9,107882588;;0,527276603;0,134825122;0,066935851
2008-07-01;92,04488887;1122,978523;9,992109316;;0,495451232;0,129770613;0,065758594
2008-10-01;92,68;1119,374;11,245;;0,460591074;0,113593055;0,060014347
2009-01-01;92,87495261;1110,348707;12,87043634;;0,404736138;0,093625832;0,0485026
2009-04-01;92,76303131;1098,257295;14,67540582;;0,363024696;0,080658733;0,038447412
2009-07-01;92,54309435;1086,176986;16,41767239;;0,365245286;0,071039302;0,03392168
2009-10-01;92,414;1077,185;17,855;;0,34556077;0,069274113;0,032285127
2010-01-01;92,53232193;1073,504579;18,80996196;;0,323380192;0,061622519;0,030068971
2010-04-01;92,88549544;1073,943045;19,36436913;;0,310530704;0,063149351;0,027060078
2010-07-01;93,41867123;1076,453738;19,66484173;;0,319798022;0,064539261;0,026655618
2010-10-01;94,077;1078,99;19,858;;0,288944209;0,063941006;0,025041842
2011-01-01;94,80905653;1079,845024;20,07327831;;0,28370118;0,064342376;0,024683072
2011-04-01;95,57711192;1078,671402;20,37136766;;0,271870227;0,06599092;0,024343159
2011-07-01;96,34686135;1075,46158;20,79577317;;0,266597075;0,065752501;0,023339939
2011-10-01;97,084;1070,208;21,39;;0,252685464;0,06186648;0,021965278
2012-01-01;97,76106132;1063,058576;22,17337791;;0,235664935;0,060452182;0,020787452
2012-04-01;98,37793188;1054,783097;23,06853524;;0,228284109;0,055624381;0,019284062
2012-07-01;98,94133649;1046,306819;23,97392495;;0,253705439;0,047156727;0,017965091
2012-10-01;99,458;1038,555;24,788;;0,255132078;0,039298431;0,017412665
2013-01-01;99,92944817;1032,301827;25,42475692;;0,242342778;0,03446883;0,016439455
2013-04-01;100,3364106;1027,717209;25,86036639;;0,25070958;0,027588912;0,014625164
2013-07-01;100,6544177;1024,819987;26,08654267;;0,213869615;0,025081515;0,013618896
2013-10-01;100,859;1023,629;26,095;;0,232885355;0,022885455;0,012657252
2014-01-01;100,935896;1024,186022;25,88771943;;0,225519797;0,021359223;0,011740033
2014-04-01;100,9116759;1026,624565;25,5077492;;0,202568233;0,019648285;0,011284424
2014-07-01;100,8231178;1031,101076;25,00840438;;0,230246134;0,018185412;0,010536147
2014-10-01;100,707;1037,772;24,443;;0,243295605;0,017898486;0,009875881
2015-01-01;100,592296;1046,607241;23,85658412;;0,248568474;0,017421035;0,008846584
2015-04-01;100,476761;1056,83053;23,2611368;;0,253296867;0,016409338;0,007927531
2015-07-01;100,3503455;1067,479054;22,66037107;;0,252583175;0,01747506;0,00770368
2015-10-01;100,203;1077,59;22,058;;0,298319608;0,016542855;0,007474784
2016-01-01;100,037123;1086,463262;21,45661595;;0,253438638;0,015881357;0,007481632
2016-04-01;99,90490506;1094,449563;20,8543286;;0,273142348;0,017081081;0,007569528
2016-07-01;99,87098456;1102,162333;20,24812695;;0,28916259;0,016097511;0,007512928
2016-10-01;100;1110,215;19,635;;0,318661749;0,016476614;0,007338707
2017-01-01;100,3334306;1118,989366;19,01462395;;0,310876087;0,016873809;0,00770624
2017-04-01;100,8201187;1127,940717;18,3974238;;0,322691962;0,017349212;0,007798496
2017-07-01;101,3857475;1136,292709;17,79651175;;0,327034893;0,018395127;0,008784436
2017-10-01;101,956;1143,269;17,225;;0,359592415;0,019173135;0,008607102
2018-01-01;102,4701076;1148,548773;16,69224763;;0,340229033;0,019274711;0,008202185
2018-04-01;102,9214949;1153,63332;16,19260121;;0,305115722;0,017873807;0,007969336
2018-07-01;103,3171348;1160,479456;15,71665418;;0,270161511;0,016164172;0,007082147
2018-10-01;103,664;1171,044;15,255;;0,300947874;0,015459696;0,007011344
2019-01-01;103,9641545;1185,788353;14,80982303;;0,360771321;0,016057567;0,007810813
2019-04-01;104,2000265;1199,192255;14,42967137;;0,327416731;0,019015808;0,008926208
2019-07-01;104,3491352;1204,240029;14,17468402;;0,322854585;0,02147829;0,009451721
2019-10-01;104,389;1193,916;14,105;;0,31154341;0,021181487;0,009581777
2020-01-01;104,3134775;1164,398673;14,25967899;;#N/A;#N/A;#N/A
2020-04-01;104,1817742;1124,643286;14,59346332;;#N/A;#N/A;#N/A
2020-07-01;104,0694337;1086,799255;15,040016;;#N/A;#N/A;#N/A
2020-10-01;104,052;1063,016;15,533;;#N/A;#N/A;#N/A
2021-01-01;104,1843104;1061,994641;16,00863288;;#N/A;#N/A;#N/A
2021-04-01;104,4383768;1078,643102;16,41335034;;#N/A;#N/A;#N/A
2021-07-01;104,7655048;1104,421013;16,69614263;;#N/A;#N/A;#N/A
2021-10-01;105,117;1130,788;16,806;;#N/A;#N/A;#N/A
2022-01-01;105,4546404;1150,963108;16,71261762;;#N/A;#N/A;#N/A
2022-04-01;105,7820937;1165,203054;16,46851033;;#N/A;#N/A;#N/A
2022-07-01;106,1135001;1175,523973;16,14689787;;#N/A;#N/A;#N/A
2022-10-01;106,463;1183,942;15,821;;#N/A;#N/A;#N/A
2023-01-01;106,840972;1192,130552;15,54945913;;#N/A;#N/A;#N/A
2023-04-01;107,2427486;1200,39218;15,33260834;;#N/A;#N/A;#N/A
2023-07-01;107,6599009;1208,686718;15,15620338;;#N/A;#N/A;#N/A
2023-10-01;108,084;1216,974;15,006;;#N/A;#N/A;#N/A
